caso,query_id,query_text,n_relevantes,modelo,rank,doc_id,score,relevante,doc_snippet
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,Vetorial,2,839,0.29329769013654267,True,"the bending stability of thin-- walled unstiffened circular cylinders including the effects of internal pressure .   in a recent paper, the authors pr"
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,Vetorial,3,763,0.24312499871566035,True,effects of internal pressure on the buckling of circular-cylindrical shells under bending.   the effect of internal pressure on the small-deflection b
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,Vetorial,4,1046,0.24187890088443664,False,the bending strength of pressurized cylinders .   a theoretical solution is given for the critical stress of thin-walled cylinders loaded in torsion .
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,Vetorial,5,1051,0.23456494611937997,False,the stability of thin-walled unstiffened circular cylinders under axial compression including the effects of internal pressure .   in the design of hi
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,BM25,1,1126,19.538690044947476,False,an engineer's conceptual approach to the buckling of cylindrical shell (axial loading) . by using the well known analogy between the bending of a beam
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,BM25,2,1051,17.543769025586148,False,the stability of thin-walled unstiffened circular cylinders under axial compression including the effects of internal pressure .   in the design of hi
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,BM25,3,827,17.27747461989508,False,a nonlinear theory of bending and buckling of thin elastic shallow spherical shells .   a shallow spherical dome subjected to lateral pressure is a st
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,BM25,4,1045,16.98398447655898,True,"the bending strength of pressurized cylinders .   discussion of previously presented experimental data for the loading of pressurized cylinders, in te"
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,BM25,5,641,16.900163827159947,False,reduction of the clamped plate to two membrane problems with an application to uniformly loaded sectors .   the clamped plate problem in the classical
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,Vetorial,1,667,0.33476103253293954,True,"hypersonic shock layer theory of the stagnation region at low reynolds number . cheng, h.k. hypersonic flow at low reynolds number is studied utilizin"
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,Vetorial,2,1264,0.324767849933069,False,boundary layer transition and heat transfer in shock tubes .   an experimental study is made of the wall boundary layer in a shock tube operated over
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,Vetorial,3,668,0.27385990135693816,True,measurements of stagnation point heat transfer at low reynolds number .   measurements of stagnation point heat transfer are presented in the reynolds
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,Vetorial,4,345,0.2706575404653322,False,"the interaction of shock waves with boundary layer on a flat surface .   the development of supersonic compressors, supersonic diffusers, and high-spe"
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,Vetorial,5,329,0.2704141358952012,True,various aerodynamic characteristics in hypersonic rarefied gas flow .   this paper considers the problem of calculating viscous aerodynamic characteri
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,BM25,1,1264,21.816440210118895,False,boundary layer transition and heat transfer in shock tubes .   an experimental study is made of the wall boundary layer in a shock tube operated over
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,BM25,2,630,20.304234163146837,False,stagnation region in rarefied high mach number flow .   paper describes results of numerical solution of the viscous shock-layer equations for axisymm
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,BM25,3,667,19.477570058460977,True,"hypersonic shock layer theory of the stagnation region at low reynolds number . cheng, h.k. hypersonic flow at low reynolds number is studied utilizin"
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,BM25,4,272,17.853796616929152,False,oscillatory aerodynamic coefficients for a unified supersonic hypersonic strip theory .   the shock tube is shown to be a feasible research tool for c
Vetorial >> BM25,77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,6,BM25,5,345,17.236538801899314,False,"the interaction of shock waves with boundary layer on a flat surface .   the development of supersonic compressors, supersonic diffusers, and high-spe"
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,Vetorial,1,751,0.3747483600536476,False,a note on the use of end plates to prevent three dimensional flow at the ends of bluff cylinders .   the results are given of some observations of the
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,Vetorial,2,68,0.18800851333191487,False,some aspects of air-helium simulation and hypersonic approximations .   some illustrations of the differences that may be expected between results obt
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,Vetorial,3,918,0.1713077773211224,False,on the low aspect ratio oscillating rectangular wing in supersonic flow .   the laplace transform of the lift distribution on an oscillating rectangul
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,Vetorial,4,247,0.16553123053015575,False,the calculation of the pressure distribution on thick wings of small aspect ratio at zero lift in subsonic flow .   the method of expressing the veloc
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,Vetorial,5,916,0.15553989646356078,False,"the flow around oscillating low aspect ratio wings at transonic speeds . when certain conditions are fulfilled for thickness ratio, aspect ratio,  and"
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,BM25,1,751,23.282183089610154,False,a note on the use of end plates to prevent three dimensional flow at the ends of bluff cylinders .   the results are given of some observations of the
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,BM25,2,1209,17.663940963972777,False,aerodynamic processes in the downwash-impingement problem .   theoretical and experimental data relating to the downwash impingement problem are exami
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,BM25,3,1153,16.78017003558249,False,a study of the simulation of flow with free stream mach number 1 in a choked wind tunnel . the degree to which experimental results obtained under cho
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,BM25,4,1245,15.073179931520833,False,"some aspects of nonequilibrium flows .   in this paper are discussed some of the general features of nonequilibrium flow .  in particular, vibrational"
Ambos insatisfatorios,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,1,BM25,5,1082,14.826857459180465,False,"the flow past pitot tube at low reynolds numbers, part 1-dash the numerical solution of the navier-stokes equations for steady viscous axisymmetric fl"
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,Vetorial,1,254,0.28256169363010464,False,boundary layers with suction and injection . a review of published work on skin friction .   available data on the effects of suction and injection on
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,Vetorial,2,125,0.2741527319204993,False,measurements of skin friction of the compressible turbulent boundary layer on a cone with foreign gas injection .   measurements of average skin frict
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,Vetorial,3,560,0.23665718179659262,False,a theoretical study of the effect of upstream transpiration-cooling on the heat transfer and skin friction characteristics of a compressible laminar b
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,Vetorial,4,140,0.21945329546456466,False,the determination of turbulent skin friction by means of pitot tubes .   a simple method of determining local turbulent skin friction on a smooth surf
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,Vetorial,5,120,0.21751346417768244,False,measurement of convective heat transfer by means of the reynolds analogy . preston's method for measuring skin friction in pipes has been extended to
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,BM25,1,125,18.531328855763118,False,measurements of skin friction of the compressible turbulent boundary layer on a cone with foreign gas injection .   measurements of average skin frict
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,BM25,2,560,17.45814152921788,False,a theoretical study of the effect of upstream transpiration-cooling on the heat transfer and skin friction characteristics of a compressible laminar b
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,BM25,3,413,14.635277418733768,False,"turbulent skin friction at high mach numbers and reynolds numbers in air and helium . nasa r82, 1960 .   results are given of local skin-friction meas"
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,BM25,4,254,14.019939573082771,False,boundary layers with suction and injection . a review of published work on skin friction .   available data on the effects of suction and injection on
Ambos insatisfatorios,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,1,BM25,5,307,13.813155409378112,False,an approximate solution of hypersonic laminar boundary layer equations and its application .   approximate formulae of the displacement thickness and
